date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:57	297/297	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Dec%202025%2023:53:57%20GMT	http://localhost:8080/robots.txt		(from )
18:53:59	182198/182198	---MC-	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2023:53:57%20GMT	http://localhost:8080/clinica_dental/inicio/	C:/My%20Web%20Sites/clinica1/localhost_8080/clinica_dental/inicio/index.html	(from )
18:53:59	45733/45733	---M--	200	added ('OK')	text/css	etag:%22b2a5-645b4a9c91e37%22	http://localhost:8080/clinica_dental/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.16	C:/My%20Web%20Sites/clinica1/localhost_8080/clinica_dental/wp-content/themes/astra/assets/css/minified/main.min9bfc.css	(from http://localhost:8080/clinica_dental/inicio/)
18:54:00	85306/85306	---M--	200	added ('OK')	text/css	etag:%2214d3a-645b4a9281d0f%22	http://localhost:8080/clinica_dental/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.7.0	C:/My%20Web%20Sites/clinica1/localhost_8080/clinica_dental/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend4250.css	(from http://localhost:8080/clinica_dental/inicio/)
18:54:04	126308/126308	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Dec%202025%2023:54:00%20GMT	http://localhost:8080/clinica_dental/wp-content/plugins/latepoint/public/stylesheets/front.css?ver=5.2.5	C:/My%20Web%20Sites/clinica1/localhost_8080/clinica_dental/wp-content/plugins/latepoint/public/stylesheets/front6619.css	(from http://localhost:8080/clinica_dental/inicio/)
18:54:04	809/809	---M--	200	added ('OK')	text/css	etag:%22329-645b4a923c3f6%22	http://localhost:8080/clinica_dental/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.7.0	C:/My%20Web%20Sites/clinica1/localhost_8080/clinica_dental/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor4250.css	(from http://localhost:8080/clinica_dental/inicio/)
18:54:04	21257/21257	---M--	200	added ('OK')	text/css	etag:%225309-645b4a8ed3439%22	http://localhost:8080/clinica_dental/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.44.0	C:/My%20Web%20Sites/clinica1/localhost_8080/clinica_dental/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine085.css	(from http://localhost:8080/clinica_dental/inicio/)
18:54:05	53644/53644	---M--	200	added ('OK')	text/css	etag:%22d18c-645b4a8d6c1ef%22	http://localhost:8080/clinica_dental/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.33.4	C:/My%20Web%20Sites/clinica1/localhost_8080/clinica_dental/wp-content/plugins/elementor/assets/css/frontend.min37de.css	(from http://localhost:8080/clinica_dental/inicio/)
18:54:06	1334/1334	---M--	200	added ('OK')	text/css	etag:%22536-645b55d830b42%22	http://localhost:8080/clinica_dental/wp-content/uploads/elementor/css/post-837.css?ver=1765291680	C:/My%20Web%20Sites/clinica1/localhost_8080/clinica_dental/wp-content/uploads/elementor/css/post-83737d1.css	(from http://localhost:8080/clinica_dental/inicio/)
18:54:06	59348/59348	---M--	200	added ('OK')	text/css	etag:%22e7d4-645b4a8ee4e76%22	http://localhost:8080/clinica_dental/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.33.4	C:/My%20Web%20Sites/clinica1/localhost_8080/clinica_dental/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min37de.css	(from http://localhost:8080/clinica_dental/inicio/)
